Verb,Most Likely Behavior,Internal / External (from Most Likely Behavior),Independent / Interactive (from Most Likely Behavior),Preferred Context (from Most Likely Behavior),Preferred Stimulus Task Type (from Most Likely Behavior),Other Possible Stimulus Task Type (from Most Likely Behavior),Learner choice of stimulus (from Most Likely Behavior),Preferred Deliverable Task Type (from Most Likely Behavior),Other Possible Deliverable Task Type (from Most Likely Behavior),Learner choice of deliverable (from Most Likely Behavior)
Adapt,React,External,Interactive,Hypothetical / Simulated,Simulation,"Role Play,Real world demonstration",No choice,Observation,,No choice
Align,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Apply,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Appraise,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Analyze,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Articulate,Explain,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",No choice,Answer questions,"Report,Presentation,Artifact",Always
Assess,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Assign,"Think Critically (Prospective),Know / Understand,React","Internal,Internal,External","Independent,Independent,Interactive","Hypothetical / Simulated,Hypothetical / Simulated,Hypothetical / Simulated","Scenario,Scenario,Simulation","Simulation,Real world project,Real world demonstration,Design project,Real world demonstration,Real world project,Design project,Role Play,Real world demonstration","Decided by program,Decided by program,No choice","*None: Must be paired with External Behavior*,*None: Must be paired with External Behavior*,Observation",,"N/A,N/A,No choice"
Balance,Think Critically (Prospective),Internal,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Brainstorm,Create,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Always,Proposal / Prototype,"Observation,Artifact,Portfolio,Report,Presentation",Decided by Program
Build,Create,External,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Always,Proposal / Prototype,"Observation,Artifact,Portfolio,Report,Presentation",Decided by Program
Calculate,"Know / Understand,Think Critically (Prospective)","Internal,Internal","Independent,Independent","Hypothetical / Simulated,Hypothetical / Simulated","Scenario,Scenario","Real world demonstration,Real world project,Design project,Simulation,Real world project,Real world demonstration,Design project","Decided by program,Decided by program","*None: Must be paired with External Behavior*,*None: Must be paired with External Behavior*",,"N/A,N/A"
Choose,Decide / Select,External,Independent,Hypothetical / Simulated,Scenario,"Simulation,Real world project,Real world demonstration,Design project",No choice,Answer questions,"Report,Proposal / Prototype,Observation,Presentation,Artifact",Decided by Program
Classify,Know / Understand,Internal,Independent,Hypothetical / Simulated,Scenario,"Real world demonstration,Real world project,Design project",Decided by program,*None: Must be paired with External Behavior*,,N/A
Collaborate,Interact,External,Interactive,Hypothetical / Simulated,Role Play,"Simulation,Real world demonstration",No choice,Observation,Presentation,No choice
Communicate (Verbal),Interact,External,Interactive,Hypothetical / Simulated,Role Play,"Simulation,Real world demonstration",No choice,Observation,Presentation,No choice
